CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,ID,SEGMENT
Land of Toys Inc.,2125557818,897 Long Airport Avenue,Bilinmiyor,NYC,NY,10022,USA,Bilinmiyor,Yu,Kwai,1,111
Reims Collectables,26471555,59 rue de l'Abbaye,Bilinmiyor,Reims,Bilinmiyor,51100,France,EMEA,Henriot,Paul,2,121
Lyon Souveniers,33146627555,27 rue du Colonel Pierre Avia,Bilinmiyor,Paris,Bilinmiyor,75508,France,EMEA,Da Cunha,Daniel,3,111
Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Bilinmiyor,Pasadena,CA,90003,USA,Bilinmiyor,Young,Julie,4,111
Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Bilinmiyor,San Francisco,CA,Bilinmiyor,USA,Bilinmiyor,Brown,Julie,5,222
Technics Stores Inc.,6505556809,9408 Furth Circle,Bilinmiyor,Burlingame,CA,94217,USA,Bilinmiyor,Hirano,Juri,6,111
Daedalus Designs Imports,20161555,"184, chausse de Tournai",Bilinmiyor,Lille,Bilinmiyor,59000,France,EMEA,Rance,Martine,7,111
Herkku Gifts,4722673215,"Drammen 121, PR 744 Sentrum",Bilinmiyor,Bergen,Bilinmiyor,N 5804,Norway,EMEA,Oeztan,Veysel,8,111
Mini Wheels Co.,6505555787,5557 North Pendale Street,Bilinmiyor,San Francisco,CA,Bilinmiyor,USA,Bilinmiyor,Murphy,Julie,9,111
Auto Canal Petit,147556555,"25, rue Lauriston",Bilinmiyor,Paris,Bilinmiyor,75016,France,EMEA,Perrier,Dominique,10,111
"Australian Collectors, Co.",395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,11,222
Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Bilinmiyor,Frick,Michael,12,111
Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Bilinmiyor,Newark,NJ,94019,USA,Bilinmiyor,Brown,William,13,111
Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bilinmiyor,Bridgewater,CT,97562,USA,Bilinmiyor,King,Julie,14,111
La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",Bilinmiyor,Nantes,Bilinmiyor,44000,France,EMEA,Labrune,Janine,15,212
Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Bilinmiyor,Cambridge,MA,51247,USA,Bilinmiyor,Hernandez,Marta,16,111
"Toys of Finland, Co.",902248555,Keskuskatu 45,Bilinmiyor,Helsinki,Bilinmiyor,21240,Finland,EMEA,Karttunen,Matti,17,111
Baane Mini Imports,7989555,Erling Skakkes gate 78,Bilinmiyor,Stavern,Bilinmiyor,4110,Norway,EMEA,Bergulfsen,Jonas,18,111
Diecast Classics Inc.,2155551555,7586 Pompton St.,Bilinmiyor,Allentown,PA,70267,USA,Bilinmiyor,Yu,Kyung,19,121
Salzburg Collectables,65629555,Geislweg 14,Bilinmiyor,Salzburg,Bilinmiyor,5020,Austria,EMEA,Pipps,Georg,20,211
Souveniers And Things Co.,61294958555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,21,111
FunGiftIdeas.com,5085552555,1785 First Street,Bilinmiyor,New Bedford,MA,50553,USA,Bilinmiyor,Benitez,Violeta,22,111
